Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Sinusitis,steam inhalation,drink warm fluids,saline nasal rinse,consult doctor if persistent
Anemia,eat iron-rich foods,take prescribed supplements,monitor hemoglobin,consult physician regularly
Otitis Media,keep ear dry,use prescribed medication,rest adequately,follow up with doctor
Conjunctivitis,avoid touching eyes,maintain hand hygiene,do not share towels,use prescribed eye drops
Influenza,rest well,drink plenty of fluids,isolate if contagious,consult doctor if severe
Acute Bronchitis,avoid smoke exposure,stay hydrated,rest adequately,use prescribed medicines
Chronic Bronchitis,stop smoking,avoid air pollutants,pulmonary rehabilitation,follow medical treatment
Viral Fever,rest,hydration,monitor temperature,consult doctor if persistent
Bacterial Pneumonia,seek medical care,take antibiotics as prescribed,rest,drink fluids
Viral Pneumonia,rest,stay hydrated,monitor oxygen symptoms,consult doctor
Acute Sinus Infection,steam inhalation,saline rinse,rest,medical consultation if prolonged
Tonsillitis,warm fluids,salt water gargle,rest voice,consult doctor if worsening
Pharyngitis,drink warm liquids,rest,avoid irritants,seek medical advice if severe
Laryngitis,voice rest,hydrate,avoid smoking,use humidified air
Gastritis,avoid spicy food,eat small meals,limit alcohol,consult physician
Food Poisoning,oral rehydration,rest,eat bland food,seek care if dehydration
Irritable Bowel Syndrome,manage stress,high-fiber diet,avoid trigger foods,follow doctor plan
Ulcerative Colitis,take prescribed meds,balanced diet,regular follow-up,monitor flare triggers
Crohn's Disease,regular specialist follow-up,avoid trigger foods,medication adherence,hydration
Appendicitis,seek emergency care,avoid self-medication,avoid food before assessment,urgent surgery consult
Kidney Stone,increase water intake,pain control as prescribed,medical imaging,urology follow-up
Chronic Kidney Disease,control blood pressure,dietary management,regular kidney tests,nephrologist follow-up
Acute Kidney Injury,urgent medical evaluation,monitor fluid intake,avoid nephrotoxic drugs,hospital care if severe
Urinary Calculi,drink plenty of water,medical treatment,diet modification,follow-up imaging
Pyelonephritis,complete antibiotics,hydration,rest,seek urgent care if severe
Cystitis,increase water intake,maintain hygiene,avoid bladder irritants,consult doctor
Hypertensive Crisis,seek emergency care,do not skip medication,monitor blood pressure,hospital evaluation
Hypotension,drink fluids,rise slowly,eat small frequent meals,consult doctor
Coronary Artery Disease,seek cardiology care,healthy diet,exercise as advised,avoid smoking
Heart Failure,limit salt,take medications,daily weight monitoring,regular cardiology follow-up
Arrhythmia,avoid caffeine excess,monitor pulse,cardiology assessment,medication adherence
Asthma Exacerbation,use rescue inhaler,avoid triggers,seek urgent care if severe,follow action plan
COPD,stop smoking,pulmonary rehab,vaccinations,medication compliance
Tuberculous Lymphadenitis,complete anti-tb therapy,regular follow-up,nutritious diet,prevent spread
Migraine with Aura,avoid known triggers,rest in dark room,hydrate,take prescribed medication
Tension Headache,stress management,adequate sleep,hydration,posture correction
Cluster Headache,seek neurology care,avoid alcohol triggers,oxygen therapy if prescribed,follow treatment
Epilepsy,medication adherence,avoid sleep deprivation,avoid driving until cleared,neurology follow-up
Stroke,call emergency services immediately,do not delay treatment,hospital stroke unit care,rehabilitation follow-up
Transient Ischemic Attack,urgent hospital evaluation,stroke risk control,take prescribed medicines,regular follow-up
Anxiety Disorder,breathing exercises,limit caffeine,counseling support,professional mental health care
Depressive Disorder,seek mental health support,maintain routine,social support,professional therapy
Panic Disorder,slow breathing exercises,seek mental health care,avoid stimulants,follow treatment plan
Generalized Anxiety Disorder,stress reduction,cognitive therapy,regular exercise,professional follow-up
Hypokalemia,electrolyte correction,medical evaluation,balanced diet,monitor labs
Hyperkalemia,urgent medical care,monitor potassium,adjust medications,dietary guidance
Dehydration,oral rehydration,increase fluids,avoid heat exposure,seek care if severe
Heat Exhaustion,move to cool place,hydrate,rest,seek care if not improving
Heat Stroke,call emergency services,rapid cooling,hospital treatment,do not delay care
Hypothermia,warm gradually,remove wet clothing,seek emergency care,monitor vitals
Dyslipidemia,low-fat diet,regular exercise,weight control,lipid monitoring
Obesity,calorie-controlled diet,regular physical activity,behavioral counseling,medical follow-up
Sleep Apnea,weight management,sleep study evaluation,use CPAP if prescribed,avoid alcohol at night
Allergic Rhinitis,avoid allergens,use antihistamines,nasal saline rinse,consult doctor
Atopic Dermatitis,moisturize skin,avoid irritants,use prescribed creams,maintain skin hygiene
Cellulitis,antibiotics as prescribed,keep area clean,elevate affected part,seek urgent care if spreading
Scabies,apply prescribed lotion,wash bedding and clothes,treat close contacts,avoid scratching
Ringworm,keep skin dry,use antifungal cream,avoid sharing personal items,maintain hygiene
Tinea Versicolor,use antifungal treatment,keep skin dry,avoid oily products,follow dermatologist advice
Oral Candidiasis,maintain oral hygiene,use antifungal medication,limit sugary foods,consult doctor
Conjunctival Allergy,avoid allergens,cold compress,lubricating drops,consult ophthalmologist if persistent
Otitis Externa,keep ear dry,avoid inserting objects,use prescribed ear drops,follow-up with doctor
